City	Hotel title	Status ECO
Genève	NH Geneva Airport	YES
Francfort	NH Collection Frankfurt City	YES
Francfort	NH Frankfurt Airport	YES
Francfort	NH Frankfurt Messe	YES
Francfort	NH Frankfurt Villa	no
Francfort	NH Frankfurt Niederrad	YES
Francfort	NH Frankfurt Mörfelden Conference Center	YES
Francfort	NH Frankfurt Airport West	YES
Buenos aires	NH Collection Buenos Aires Crillon	no
Buenos aires	NH Collection Buenos Aires Jousten	YES
Buenos aires	NH Collection Buenos Aires Centro Histórico	no
Buenos aires	NH Buenos Aires 9 de Julio	YES
Buenos aires	NH Buenos Aires City	no
Buenos aires	NH Buenos Aires Tango	YES
Buenos aires	NH Buenos Aires Latino	no
Buenos aires	NH Collection Buenos Aires Lancaster	YES
Buenos aires	NH Buenos Aires Florida	no
Bogota	NH Collection Bogotá Teleport Royal	YES
Bogota	NH Collection Bogotá Andino Royal	YES
Bogota	NH Bogotá Urban 93 Royal	no
Bogota	NH Bogotá Urban 26 Royal	no
Bogota	NH Collection Bogotá Hacienda Royal	YES
Bogota	NH Collection Bogotá Terra 100 Royal	YES
Bogota	NH Collection Bogotá WTC Royal	YES
Bogota	NH Bogotá Pavillon Royal	no
Bogota	NH Bogotá Boheme Royal	YES
Mexico	NH Collection Mexico City Reforma	no
Mexico	NH Collection Mexico City Centro Histórico	YES
Mexico	NH Collection Mexico City Airport T2	no
Mexico	NH Collection Mexico City Santa Fe	no
Mexico	NH Mexico City Valle Dorado	no
Monterrey	NH Collection Monterrey San Pedro	no
Monterrey	NH Monterrey La Fe	no
Santiago	NH Collection Plaza Santiago	no
Santiago	NH Collection Santiago Casacostanera	no
Santiago	NH Ciudad de Santiago	no
Mar-del-plata	NH Gran Hotel Provincial	no
Mar-del-plata	NH Hotel Casino	no
La-havane	NH Capri La Habana	no
La-havane	NH Collection Victoria La Habana	no
